userName,score,at,content
Mulyadi Yadi,5,2026-05-07 10:29:11,"Dengan Signal dapat Menghemat waktu, kesibukan tidak terkendala hanya karena bayar pajak manual yang mengharuskan datang langsung ke perpajakan mobil, terimakasih."
Hendra Hadi17,5,2026-05-07 10:24:59,"simple bayar pajak lewat online, 2 hari kemudian datang STNK nya di kirim ke rumah lewat pos . recommended . bagus 👍"
Zakiya Rahmah,5,2026-05-07 10:23:11,"Best! walaupun pas bayar aga susah krn layanan selalu tidak tersedia di last minute. tapi setelah sukses proses tgl 6, tgl 7 dokumen sudah sampai😭🫶🏻"
XOW,5,2026-05-07 10:13:15,sampai saat ini aman dan mudah
Ferliyudi Merang Ibau,4,2026-05-07 10:09:14,"sangat terbantu dengan aplikasi Signal, proses pembayaran mudah dan tidak perlu mengantri lagi. Semoga aplikasi ini tetap berjalan dengan baik karena sangat dimudahkan dan akan selalu lebih baik lagi."
Danang Febri Saputra,5,2026-05-07 09:42:04,bagus mempermudah sekali
ipul mobile phone,5,2026-05-07 09:35:39,mantap cepat pratis
Nazriel Rahman,5,2026-05-07 09:26:03,"mantap, cepat... terimakasih,"
Sirojudin San,5,2026-05-07 09:21:56,"sangat membantu bisa efesiensi waktu , saat offday bisa istrht is the best Signal"
_hasan 13,1,2026-05-07 09:17:58,gak bisa cek pajak
eka daris,4,2026-05-07 09:06:14,ok oc
Rojul 11,5,2026-05-07 08:52:26,oke
Purnowiyata Gunawan Lumbantoruan,5,2026-05-07 08:52:05,sangat membantu sekali. terimakasih
lbl Bagio,5,2026-05-07 08:50:20,mantap
Choi Anam,1,2026-05-07 08:46:18,gak guna. tetep disuruh datang offline
aming tjung,5,2026-05-07 08:34:47,lebih cepat dan proses sangat cepat👍👍👍
Salman Pahlawan,1,2026-05-07 08:31:23,"ga secanggih SAMBHARA, yg bisa bayar pajak kendaraan milik orang lain. yang penting kan dibayar pajaknya"
ANDRIAN SAPUTRA,2,2026-05-07 08:27:47,"Tolong perbaiki lagi layanan, terutama pengirim STNKnya agak lama dan ongkirnya terlalu mahal ,"
rahmat hidayat,4,2026-05-07 08:25:12,pelayananny ok dan cepet tapi saran dong ..kog sekarang g dapat stiker klo udah bayar pajak ..dan kaga dapet sarung STNK yg baru 😂mohon di perbaiki yooo
Ridwan Gunawan,5,2026-05-07 07:35:16,proses mudah pengiriman cepat 2 hari sampe karna pake express .
Tri Yanto,5,2026-05-07 07:15:29,sangat rekomen
HARYONO 3D PRINT,5,2026-05-07 07:12:45,"slamt sianng, ingin bertanya setelah membayar melalui amplikasi signal selanjutnnya apa yg harus saya lakukan"
